year,bill_item_id,summary,dr_label,pdf_filename,pdf_url,pdf_url_embedded,pdf_resolve_status,first_reading,second_reading,presented_by,passed_at,source_tree_node_id,seed_url,ajax_url
2020,0_0,D.R 1/2020 - Supplementary Supply (2019) Bill 2020 (Passed),D.R 1/2020,D.R 1_2020 - eng.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2020/D.R%201_2020%20-%20eng.pdf,,,21/07/2020,11/08/2020,YB Datuk Abd. Rahim Bin Bakri - Timbalan Menteri Kewangan I,12/08/2020,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2020,0_1,D.R 2/2020 - Supply (Reallocation of Appropriated Expenditure) Bill 2020 (Passed),D.R 2/2020,D.R 2_2020 - eng.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2020/D.R%202_2020%20-%20eng.pdf,,,21/07/2020,13/08/2020,YB Tuan Mohd Shahar Bin Abdullah - Timbalan Menteri Kewangan II,17/08/2020,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2020,0_2,D.R 3/2020 - Road Transport (Amendment) Bill 2020 (Passed),D.R 3/2020,D.R 3_2020 - eng.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2020/D.R%203_2020%20-%20eng.pdf,,,27/07/2020,26/08/2020,YB Datuk Seri Ir. Dr. Wee Ka Siong &amp;ndash; Menteri Pengangkutan,26/08/2020,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2020,0_3,D.R 4/2020 - Temporary Measures for Government Financing (Coronavirus Disease 2019 (COVID-19)) Bill 2020 (Passed),D.R 4/2020,D.R 4_2020 - eng.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2020/D.R%204_2020%20-%20eng.pdf,,,06/08/2020,18/08/2020,YB Senator Dato&#039; Sri Tengku Zafrul Tengku Abdul Aziz &ndash; Menteri Kewangan,24/08/2020,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2020,0_4,D.R 5/2020 - Insolvency (Amendment) Bill 2020 (Passed),D.R 5/2020,D.R 5_2020 - eng.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2020/D.R%205_2020%20-%20eng.pdf,,,12/08/2020,25/08/2020,YB Dato&#039; Takiyuddin Bin Hassan - Menteri di JPM (Parlimen dan Undang-Undang),25/08/2020,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2020,0_5,D.R 6/2020 - Temporary Measures for Reducing the Impact of Coronavirus Disease 2019 (COVID-19) Bill 2020 (Passed),D.R 6/2020,D.R 6_2020 - eng.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2020/D.R%206_2020%20-%20eng.pdf,,,12/08/2020,25/08/2020,YB Dato&#039; Takiyuddin Bin Hassan - Menteri di JPM (Parlimen dan Undang-Undang),25/08/2020,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2020,0_6,D.R 7/2020 - National Security Council (Amendment) Bill 2020 (Passed),D.R 7/2020,D.R 7_2020 - eng.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2020/D.R%207_2020%20-%20eng.pdf,,,18/08/2020,24/08/2020,YB Dato&#039; Takiyuddin Bin Hassan - Menteri di JPM (Parlimen dan Undang-Undang),24/08/2020,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2020,0_7,D.R 8/2020 - Courts of Judicature (Amendment) Bill 2020 (Passed),D.R 8/2020,D.R 8_2020 - eng.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2020/D.R%208_2020%20-%20eng.pdf,,,24/08/2020,26/08/2020,YB Dato&#039; Takiyuddin Bin Hassan - Menteri di JPM (Parlimen dan Undang-Undang),26/08/2020,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2020,0_8,D.R 9/2020 - Subordinate Courts (Amendment) Bill 2020 (Passed),D.R 9/2020,D.R 9_2020 - eng.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2020/D.R%209_2020%20-%20eng.pdf,,,24/08/2020,26/08/2020,YB Dato&#039; Takiyuddin Bin Hassan - Menteri di JPM (Parlimen dan Undang-Undang),26/08/2020,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2020,0_9,D.R.10/2020 - Subordinate Courts Rules (Amendment) Bill 2020 (Passed),D.R.10/2020,D.R 10_2020 - eng.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2020/D.R%2010_2020%20-%20eng.pdf,,,24/08/2020,26/08/2020,YB Dato&#039; Takiyuddin Bin Hassan - Menteri di JPM (Parlimen dan Undang-Undang),26/08/2020,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
