year,bill_item_id,summary,dr_label,pdf_filename,pdf_url,pdf_url_embedded,pdf_resolve_status,first_reading,second_reading,presented_by,passed_at,source_tree_node_id,seed_url,ajax_url
2018,0_0,D.R. 1/2018 - Supplementary Supply (2017) Bill 2018 (Passed),D.R. 1/2018,D.R. 1_2018 - eng.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2018/D.R.%201_2018%20-%20eng.pdf,,,19/03/2018,26/03/2018,YB Datuk Seri Johari bin Abdul Ghani - Menteri Kewangan II,27/03/2018,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2018,0_1,D.R. 2/2018 - Malaysian Anti-Corruption Commission (Amendment) Bill 2018 (Passed),D.R. 2/2018,D.R 2_2018 - eng.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2018/D.R%202_2018%20-%20eng.pdf,,,26/03/2018,04/04/2018,YB Datuk Seri Razali bin Ibrahim - Tim. Men JPM,04/04/2018,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2018,0_3,D.R. 4/2018 - Limitation (Amendment) Bill 2018 (Passed),D.R. 4/2018,D.R. 4_2018 - eng.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2018/D.R.%204_2018%20-%20eng.pdf,,,26/03/2018,03/04/2018,YB Datuk Seri Razali bin Ibrahim - Tim. Men. Di Jabatan Perdana Menter,03/04/2018,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2018,0_4,D.R. 5/2018 - Arbitration (Amendment) (No.2) Bill 2018 (Passed),D.R. 5/2018,D.R. 5_2018 - eng.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2018/D.R.%205_2018%20-%20eng.pdf,,,26/03/2018,03/04/2018,YB Datuk Seri Razali bin Ibrahim - Tim.Men. Di Jabatan Perdana Menter,03/04/2018,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2018,0_5,D.R. 6/2018 - Anti-Fake News Bill 2018 (Passed),D.R. 6/2018,D.R. 6_2018 - eng new.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2018/D.R.%206_2018%20-%20eng%20new.pdf,,,26/03/2018,29/03/2018,YB Dato&#039; Sri Azalina binti Dato&#039; Othman Said - Menteri Di Jabatan Perdana Menteri | YB Dato&#039; Sri Azalina binti Dato&#039; Othman Said - Menteri Di Jabatan Perdana Menter,02/04/2018,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2018,0_6,D.R. 7/2018 - Sports Development (Amendment) Bill 2018 (Passed),D.R. 7/2018,D.R. 7_2018_EN.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2018/D.R.%207_2018_EN.pdf,,,27/03/2018,03/04/2018,YB Brig Jen Khairy Jamaluddin - Menteri Belia dan Sukan,03/04/2018,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2018,0_7,D.R. 8/2018 - Fire Services (Amendment) Bill 2018 (Passed),D.R. 8/2018,D.R. 8_2018 - eng.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2018/D.R.%208_2018%20-%20eng.pdf,,,29/03/2018,04/04/2018,YB Tan Sri Noh Bin Haji Omar- Menteri KPKT,04/04/2018,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2018,0_8,D.R. 9/2018 - Goods and Services Tax (Repeal) Bill 2018 (Passed),D.R. 9/2018,D.R.9_2018-ENG NEW.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2018/D.R.9_2018-ENG%20NEW.pdf,,,31/07/2018,08/08/2018,YB Tuan Lim Guan Eng - Menteri Kewangan,08/08/2018,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2018,0_9,D.R.10/2018 - Sales Tax Bill 2018 (Passed),D.R.10/2018,D.R.10_2018-eng.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2018/D.R.10_2018-eng.pdf,,,31/07/2018,07/08/2018,YB Tuan Lim Guan Eng - Menteri Kewangan,07/08/2018,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2018,0_10,D.R.11/2018 - Service Tax Bill 2018 (Passed),D.R.11/2018,D.R.11_2018-ENG.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2018/D.R.11_2018-ENG.pdf,,,31/07/2018,08/08/2018,YB Tuan Lim Guan Eng - Menteri Kewangan,08/08/2018,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
