year,bill_item_id,summary,dr_label,pdf_filename,pdf_url,pdf_url_embedded,pdf_resolve_status,first_reading,second_reading,presented_by,passed_at,source_tree_node_id,seed_url,ajax_url
2017,0_0,D.R. 1/2017 - Weights and Measures (Amentmend) Bill 2017 (Passed),D.R. 1/2017,D.R. 1_2017 (ENG).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2017/D.R.%201_2017%20%28ENG%29.pdf,,,13/03/2017,30/03/2017,YB Dato&#039; Henry Sum Agong - Timbalan Menteri KPDNKK,30/03/2017,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2017,0_1,D.R. 2/2017 - Private Higher Educational Institutions (Amendment) Bill 2017 (Passed),D.R. 2/2017,D.R. 2_2017 (ENG).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2017/D.R.%202_2017%20%28ENG%29.pdf,,,16/03/2017,05/04/2017,YB Datuk Dr. Mary Yap Kain Ching @ Yap Ken Jin - Tim. Menteri Pendidikan Tinggi,05/04/2017,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2017,0_2,D.R. 3/2017 - Strategic Trade (Amendment) Bill 2017 (Passed),D.R. 3/2017,D.R. 3_2017 (ENG).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2017/D.R.%203_2017%20%28ENG%29.pdf,,,21/03/2017,04/04/2017,Datuk Haji Ahmad bin Haji Maslan -  Timbalan Menteri MITI,04/04/2017,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2017,0_3,D.R. 4/2017 - Judges&#039; Remuneration (Amentmend) Bill 2017 (Passed),D.R. 4/2017,D.R. 4_2017 (ENG).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2017/D.R.%204_2017%20%28ENG%29.pdf,,,21/03/2017,30/03/2017,YB Dato&#039; Razali bin Ibrahim - Timbalan Menteri Di Jabatan Perdana Menteri,30/03/2017,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2017,0_4,D.R. 5/2017 - Supplementary Supply (2016) Bill 2017 (Passed),D.R. 5/2017,D.R. 5_2017 (ENG).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2017/D.R.%205_2017%20%28ENG%29.pdf,,,21/03/2017,27/03/2017,YB Datuk Seri Johari bin Abdul Ghani - Menteri Kewangan II,28/03/2017,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2017,0_5,D.R. 6/2017 - Sexual Offences against Children Bill 2017 (Passed),D.R. 6/2017,D.R. 6_2017 (eng).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2017/D.R.%206_2017%20%28eng%29.pdf,,,28/03/2017,03/04/2017,YB Dato&#039; Sri Azalina binti Dato&#039; Othman Said - Menteri Di Jabatan Perdana Menteri | YB Dato&#039; Sri Azalina binti Dato&amp;#039; Othman Said - Menteri Di Jabatan Perdana Menter,04/04/2017,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2017,0_6,D.R. 7/2017 - Private Employment Agencies (Amendment) Bill 2017 (Passed),D.R. 7/2017,D.R. 7_2017 (eng).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2017/D.R.%207_2017%20%28eng%29.pdf,,,30/03/2017,27/07/2017,YB Dato&#039; Sri Richard Riot Anak Jaem (Menteri Sumber Manusia),27/07/2017,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2017,0_7,D.R. 8/2017 - Labuan Business Activity Tax (Amendment) Bill 2017 (Passed),D.R. 8/2017,D.R. 8_2017 (eng).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2017/D.R.%208_2017%20%28eng%29.pdf,,,03/04/2017,05/04/2017,YB Dato&#039; Wira Othman Bin Aziz- Timbalan Menteri Kewangan,05/04/2017,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2017,0_8,D.R. 9/2017 - Consumer Protection (Amendment) Bill 2017 (Passed),D.R. 9/2017,D.R. 9_2017 (eng).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2017/D.R.%209_2017%20%28eng%29.pdf,,,03/04/2017,05/04/2017,YB Dato&#039; Seri Hamzah bin Zainudin - Menteri KPDNKK,05/04/2017,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2017,0_9,D.R.10/2017 - Domestic Violence (Amendment) Bill 2017 (Passed),D.R.10/2017,D.R. 10_2017 (eng).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2017/D.R.%2010_2017%20%28eng%29.pdf,,,03/04/2017,24/07/2017,YB Dato&#039; Sri Hajah Rohani binti Haji Abdul Karim - Menteri KPWKM,25/07/2017,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2017,0_10,D.R.11/2017 - Penal Code (Amendment) Bill 2017 (Passed),D.R.11/2017,D.R. 11_2017 (eng).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2017/D.R.%2011_2017%20%28eng%29.pdf,,,03/04/2017,05/04/2017,YB Dato&#039; Razali bin Ibrahim - Timbalan Menteri Di Jabatan Perdana Menteri,05/04/2017,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
