year,bill_item_id,summary,dr_label,pdf_filename,pdf_url,pdf_url_embedded,pdf_resolve_status,first_reading,second_reading,presented_by,passed_at,source_tree_node_id,seed_url,ajax_url
2024,0_0,D.R.17/2024 - Drug Dependants (Treatment and Rehabilitation) (Amendment) Bill 2024 (Passed),D.R.17/2024,DR 17 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2017%20BI.pdf,,,02/07/2024,03/07/2024,YB Datuk Seri Dr. Shamsul Anuar bin Haji Nasarah - Timbalan Menteri Dalam Negeri | YB Senator Datuk Seri Saifuddin Nasution bin Ismail - Menteri Dalam Negeri,18/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_1,D.R.18/2024 - Administration of Islamic Law (Federal Territories) (Amendment) Bill 2024 (Passed),D.R.18/2024,DR 18 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2018%20BI.pdf,,,02/07/2024,05/12/2024,YB Senator Dr. Zulkifli bin Hasan - Timbalan Menteri di Jabatan Perdana Menteri (Hal Ehwal Agama),05/12/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_2,D.R.20/2024 - Syariah Court Civil Procedure (Federal Territories) (Amendment) Bill 2024 (Passed),D.R.20/2024,DR 20 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2020%20BI.pdf,,,02/07/2024,05/12/2024,YB Senator Dr. Zulkifli bin Hasan - Timbalan Menteri di Jabatan Perdana Menteri (Hal Ehwal Agama),05/12/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_3,D.R.21/2024 - Personal Data Protection (Amendment) Bill 2024 (Passed),D.R.21/2024,DR 21 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2021%20BI.pdf,,,10/07/2024,16/07/2024,YB Tuan Gobind Singh Deo - Menteri Digital,16/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_4,D.R.22/2024 - Malaysia Border Control and Protection Agency Bill 2024 (Passed),D.R.22/2024,DR 22 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2022%20BI.pdf,,,09/07/2024,15/07/2024,YB Datuk Seri Dr. Shamsul Anuar bin Haji Nasarah - Timbalan Menteri Dalam Negeri,16/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_5,D.R.23/2024 - Penal Code (Amendment) Bill 2024 (Passed),D.R.23/2024,DR 23 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2023%20BI.pdf,,,09/07/2024,10/07/2024,YB Tuan M. Kulasegaran a/l V. Murugeson - Timbalan Menteri di Jabatan Perdana Menteri (Undang-Undang dan Reformasi Institusi),10/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_6,D.R.24/2024 - Criminal Procedure Code (Amendment) Bill 2024 (Passed),D.R.24/2024,DR 24 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2024%20BI.pdf,,,09/07/2024,10/07/2024,YB Tuan M. Kulasegaran a/l V. Murugeson - Timbalan Menteri di Jabatan Perdana Menteri (Undang-Undang dan Reformasi Institusi),11/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_7,D.R.25/2024 - Evidence of Child Witness (Amendment) Bill 2024 (Passed),D.R.25/2024,DR 25 BI_merged.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2025%20BI_merged.pdf,,,09/07/2024,11/07/2024,YB Dato&#039; Sri Azalina binti Othman Said - Menteri di Jabatan Perdana Menteri (Undang-Undang dan Reformasi Institusi),11/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_8,D.R.26/2024 - Evidence (Amendment) Bill 2024 (Passed),D.R.26/2024,DR 26 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2026%20BI.pdf,,,09/07/2024,15/07/2024,YB Tuan M. Kulasegaran a/l V. Murugeson - Timbalan Menteri di Jabatan Perdana Menteri (Undang-Undang dan Reformasi Institusi),15/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_9,D.R.27/2024 - Oaths and Affirmations (Amendment) Bill 2024 (Passed),D.R.27/2024,DR 27 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2027%20BI.pdf,,,09/07/2024,15/07/2024,YB Tuan M. Kulasegaran a/l V. Murugeson - Timbalan Menteri di Jabatan Perdana Menteri (Undang-Undang dan Reformasi Institusi),15/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_10,D.R.28/2024 - Sexual Offences against Children (Amendment) Bill 2024 (Passed),D.R.28/2024,DR 28 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2028%20BI.pdf,,,09/07/2024,15/07/2024,YB Dato&#039; Sri Azalina binti Othman Said - Menteri di Jabatan Perdana Menteri (Undang-Undang dan Reformasi Institusi),15/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_11,D.R.29/2024 - Armed Forces (Amendment) Bill 2024 (Passed),D.R.29/2024,DR 29 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2029%20BI.pdf,,,09/07/2024,15/07/2024,YB Tuan M. Kulasegaran a/l V. Murugeson - Timbalan Menteri di Jabatan Perdana Menteri (Undang-Undang dan Reformasi Institusi),15/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_12,D.R.30/2024 - Security Offences (Special Measures) (Amendment) Bill 2024 (Passed),D.R.30/2024,DR 30 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2030%20BI.pdf,,,09/07/2024,15/07/2024,YB Tuan M. Kulasegaran a/l V. Murugeson - Timbalan Menteri di Jabatan Perdana Menteri (Undang-Undang dan Reformasi Institusi),15/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_13,D.R.31/2024 - Medical (Amendment) Bill 2024 (Passed),D.R.31/2024,DR 31 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2031%20BI.pdf,,,15/07/2024,16/07/2024,YB Datuk Seri Dr. Haji Dzulkefly Bin Ahmad - Menteri Kesihatan,17/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_14,D.R.32/2024 - Prevention and Control of Infectious Disease (Amendment) Bill 2024 (Passed),D.R.32/2024,DR 32 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2032%20BI.pdf,,,15/07/2024,14/10/2024,YB Tuan Lukanisman bin Awang Sauni - Timbalan Menteri Kesihatan,14/10/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_15,D.R.33/2024 - Customs (Amendment) Bill 2024 (Passed),D.R.33/2024,DR 33 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2033%20BI.pdf,,,16/07/2024,17/07/2024,YB Puan Lim Hui Ying - Timbalan Menteri Kewangan,17/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_16,D.R.34/2024 - Excise (Amendment) Bill 2024 (Passed),D.R.34/2024,DR 34 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2034%20BI.pdf,,,16/07/2024,17/07/2024,YB Puan Lim Hui Ying - Timbalan Menteri Kewangan,17/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_17,D.R.35/2024 - Free Zones (Amendment) Bill 2024 (Passed),D.R.35/2024,DR 35 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2035%20BI.pdf,,,16/07/2024,17/07/2024,YB Puan Lim Hui Ying - Timbalan Menteri Kewangan,17/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_18,D.R.36/2024 - Sales Tax (Amendment) Bill 2024 (Passed),D.R.36/2024,DR 36 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2036%20BI.pdf,,,16/07/2024,17/07/2024,YB Puan Lim Hui Ying - Timbalan Menteri Kewangan,17/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_19,D.R.37/2024 - Services Tax (Amendment) Bill 2024 (Passed),D.R.37/2024,DR 37 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2037%20BI.pdf,,,16/07/2024,17/07/2024,YB Puan Lim Hui Ying - Timbalan Menteri Kewangan,17/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_20,D.R.38/2024 - Arbitration (Amendment) Bill 2024 (Passed),D.R.38/2024,DR 38 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2038%20BI.pdf,,,15/07/2024,16/07/2024,YB Dato&#039; Sri Azalina binti Othman Said - Menteri di Jabatan Perdana Menteri (Undang-Undang dan Reformasi Institusi),16/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_21,D.R.39/2024 - Construction Industry Payment and Adjudication (Amendment) Bill 2024 (Passed),D.R.39/2024,DR 39 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2039%20BI.pdf,,,15/07/2024,16/07/2024,YB Tuan M. Kulasegaran a/l V. Murugeson - Timbalan Menteri di Jabatan Perdana Menteri (Undang-Undang dan Reformasi Institusi),16/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_22,D.R.40/2024 - Declaration of an Area in the Bintulu District to be a Federal Port (Repeal) Bill 2024 (Passed),D.R.40/2024,DR 40 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2040%20BI.pdf,,,16/07/2024,17/07/2024,YB Tuan Anthony Loke Siew Fook - Menteri Pengangkutan,17/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_23,D.R.41/2024 - Bintulu Port Authority (Dissolution) Bill 2024 (Passed),D.R.41/2024,DR 41 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2041%20BI.pdf,,,16/07/2024,17/07/2024,YB Tuan Anthony Loke Siew Fook - Menteri Pengangkutan,17/07/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_24,D.R.42/2024 - Labour Ordinance of Sabah (Amendment) Bill 2024 (Passed),D.R.42/2024,DR 42 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2042%20BI.pdf,,,10/07/2024,14/10/2024,YB Tuan Steven Sim Chee Keong - Menteri Sumber Manusia,14/10/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2024,0_25,D.R.43/2024 - Water Services Industry (Amendment) Bill 2024. (Passed),D.R.43/2024,DR 43 - BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2024/DR%2043%20-%20BI.pdf,,,14/10/2024,12/12/2024,YAB Dato&#039; Sri Haji Fadillah bin Haji Yusof - Menteri Peralihan Tenaga dan Transformasi Air,12/12/2024,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
