year,bill_item_id,summary,dr_label,pdf_filename,pdf_url,pdf_url_embedded,pdf_resolve_status,first_reading,second_reading,presented_by,passed_at,source_tree_node_id,seed_url,ajax_url
2014,0_0,D.R 19/2014 - Finance Bill (No. 2) 2014 (Passed),D.R 19/2014,Finance Bill (No. 2) 2014 - BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2014/Finance%20Bill%20%28No.%202%29%202014%20-%20BI.pdf,,,13/10/2014,26/11/2014,YB Datuk Chua Tee Yong,26/11/2014,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2014,0_1,D.R. 10/2014 - Prison (Amendment) (No. 2) Bill 2014 (Passed),D.R. 10/2014,DR 10 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2014/DR%2010%20BI.pdf,,,07/10/2014,09/10/2014,YB Datuk Dr. Wan Junaidi bin Tuanku Jaafar,26/11/2014,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2014,0_6,D.R. 15/2014 - Supply Bill 2015 (Passed),D.R. 15/2014,Supply Bill 2015 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2014/Supply%20Bill%202015%20BI.pdf,,,07/10/2014,10/10/2014,YAB  Dato&#039; Sri Mohd. Najib bin Tun Haji Abdul Razak | YB Dato&#039; Seri Haji Ahmad Husni bin Mohamad Hanadzlah,25/11/2014,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2014,0_7,D.R. 16/2014 - Companies Commission of Malaysia (Amendment) Bill 2014 (Passed),D.R. 16/2014,RUU SSM (English).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2014/RUU%20SSM%20%28English%29.pdf,,,13/10/2014,26/11/2014,YB Sen Dato&rsquo; Seri Ahmad Bashah bin Md Hanipah,26/11/2014,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2014,0_8,D.R. 17/2014 - Registration of Businesses (Amendment) Bill 2014 (Passed),D.R. 17/2014,RUU Pendaftaran Perniagaan (English).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2014/RUU%20Pendaftaran%20Perniagaan%20%28English%29.pdf,,,13/10/2014,26/11/2014,YB Sen Dato` Seri Ahmad Bashah bin Md Hanipah,26/11/2014,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2014,0_9,D.R. 18/2014 - Limited Liability Partnerships (Amendment) Bill 2014 (Passed),D.R. 18/2014,RUU PLT (English).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2014/RUU%20PLT%20%28English%29.pdf,,,13/10/2014,26/11/2014,YB Sen Dato&rsquo; Seri Ahmad Bashah bin Md Hanipah,26/11/2014,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2014,0_10,D.R. 20/2014 - Registration of Engineers (Amendment) Bill 2014 (Passed),D.R. 20/2014,WJW003321 DR20 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2014/WJW003321%20DR20%20BI.pdf,,,20/11/2014,27/11/2014,YB Dato&rsquo; Sri Hj Fadillah bin Yusof,27/11/2014,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2014,0_11,D.R. 21/2014 - Architects (Amendment) Bill 2014 (Passed),D.R. 21/2014,WJW003323 DR21 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2014/WJW003323%20DR21%20BI.pdf,,,20/11/2014,27/11/2014,YB Dato&rsquo; Sri Hj Fadillah bin Yusof,27/11/2014,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2014,0_12,D.R. 22/2014 - Quantity Surveyors (Amendment) Bill 2014 (Passed),D.R. 22/2014,WJW003322 DR22 BI.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2014/WJW003322%20DR22%20BI.pdf,,,20/11/2014,27/11/2014,YB Dato&rsquo; Sri Hj Fadillah bin Yusof,27/11/2014,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2014,0_13,D.R. 23/2014 - Members of Parliament (Remuneration) (Amendment) Bill 2014 (Passed),D.R. 23/2014,D.R.23_2014(BI).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2014/D.R.23_2014%28BI%29.pdf,,,,, | YB Dato` Seri Dr. Shahidan Kassim,09/04/2015,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
