year,bill_item_id,summary,dr_label,pdf_filename,pdf_url,pdf_url_embedded,pdf_resolve_status,first_reading,second_reading,presented_by,passed_at,source_tree_node_id,seed_url,ajax_url
2015,0_0,D.R.  9/2015 - Criminal Procedure Code (Amendment) Bill 2015 (Passed),D.R.  9/2015,D.R.9_2015(eng).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2015/D.R.9_2015%28eng%29.pdf,,,,,YB Puan Hjh Nancy Binti Shukri - Menteri Di Jabatan Perdana Menteri,19/05/2016,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2015,0_1,D.R. 1/2015 - Chemists (Amendment) Act Bill 2015 (Passed),D.R. 1/2015,D.R.1_2015(BI).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2015/D.R.1_2015%28BI%29.pdf,,,26/03/2015,18/05/2015,YB Datuk Dr. Abu Bakar b. Mohamad Diah,19/05/2015,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2015,0_2,D.R. 11/2015 - Electricity Supply (Amendment) Bill 2015 (Passed),D.R. 11/2015,WJW004645 BI DR11.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2015/WJW004645%20BI%20DR11.pdf,,,15/06/2015,17/06/2015,"YB Datuk Seri Panglima Dr. Maximus Johnity Ongkili (Menteri Tenaga, Teknologi Hijau dan Air) | YB Dato` Seri Mahdzir bin Khalid",18/06/2015,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2015,0_3,D.R. 12/2015 - Evidence (Amendment) Bill 2015 (Passed),D.R. 12/2015,D.R.12_2015(BI).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2015/D.R.12_2015%28BI%29.pdf,,,,,YB Puan Hjh Nancy Binti Shukri - Menteri Di Jabatan Perdana Menteri,19/05/2016,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2015,0_4,D.R. 19/2015 - Animal Welfare Bill 2015 (Passed),D.R. 19/2015,D.R.19_2015(BI).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2015/D.R.19_2015%28BI%29.pdf,,,09/04/2015,16/06/2015,YB Dato` Sri Ismail Sabri bin Yaakob,17/06/2015,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2015,0_5,D.R. 2/2015 - Public Sector Home Financing Board Bill 2015 (Passed),D.R. 2/2015,D.R.2_2015(BI).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2015/D.R.2_2015%28BI%29.pdf,,,26/03/2015,30/11/-0001,,06/04/2015,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2015,0_6,D.R. 21/2015 - Judges&amp;rsquo; Remuneration (Amendment) Bill 2015 (Passed),D.R. 21/2015,WJW004617 BI DR21.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2015/WJW004617%20BI%20DR21.pdf,,,15/06/2015,18/06/2015,YB Hajah Nancy binti Shukri,18/06/2015,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2015,0_7,D.R. 22/2015 - Police (Amendment) Bill 2015 (Passed),D.R. 22/2015,WJW004618 BI DR22.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2015/WJW004618%20BI%20DR22.pdf,,,15/06/2015,18/06/2015,YB Datuk Dr Wan Junaidi bin Tuanku Jaafar,18/06/2015,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2015,0_8,D.R. 23/2015 - Armed Forces (Amendment) Bill 2015 (Passed),D.R. 23/2015,WJW004619 BI DR23.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2015/WJW004619%20BI%20DR23.pdf,,,15/06/2015,18/06/2015,YB Datuk Abd Rahim bin Bakri,18/06/2015,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2015,0_9,D.R. 24/2015 - Allied Health Professions Bill 2015 (Passed),D.R. 24/2015,WJW004631 BI DR24.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2015/WJW004631%20BI%20DR24.pdf,,,16/06/2015,19/10/2015,YB Datuk Seri S. Subramaniam (Menteri Kesihatan) | YB Datuk Seri S. Subramaniam,20/10/2015,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2015,0_10,D.R. 25/2015 - Consumer Protection (Amendment) Bill 2015 (Passed),D.R. 25/2015,WJW004634 BI DR25.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2015/WJW004634%20BI%20DR25.pdf,,,15/06/2015,18/06/2015,YB Dato` Paduka Ahmad Bashah bin Md Hanipah,18/06/2015,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2015,0_11,D.R. 26/2015 - Civil Aviation (Amendment) Bill 2015 (Passed),D.R. 26/2015,WJW004641 BI DR26.pdf,https://www.parlimen.gov.my/files/billindex/pdf/2015/WJW004641%20BI%20DR26.pdf,,,15/06/2015,18/06/2015,YB Datuk AB Aziz bin Kaprawi (Timb Menteri Pengangkutan) | YB Dato&#039; Sri Liow Tiong Lai (Menteri Pengangkutan),18/06/2015,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2015,0_12,D.R. 27/2015 - Employees Provident Fund Bill (Amendment) 2015 (Passed),D.R. 27/2015,D.R.27_2015(eng).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2015/D.R.27_2015%28eng%29.pdf,,,19/10/2015,20/10/2015,YB Dato` Johari Abdul Ghani (Timb Menteri Kewangan),22/10/2015,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2015,0_13,D.R. 28/2015 - Malaysia Deposit Insurance Corporation (Amendent) 2015 (Passed),D.R. 28/2015,D.R.28_2015(eng).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2015/D.R.28_2015%28eng%29.pdf,,,19/10/2015,22/10/2015,YB Dato` Johari Abdul Ghani (Timb Menteri Kewangan),03/12/2015,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
2015,0_14,D.R. 3/2015 - Supplementary Supply (2014) Bill 2015 (Passed),D.R. 3/2015,D.R.3_2015(BI).pdf,https://www.parlimen.gov.my/files/billindex/pdf/2015/D.R.3_2015%28BI%29.pdf,,,23/03/2015,30/03/2015,YB  Datuk  Chua  Tee  Yong | YB Datuk Chua Tee Yong,31/03/2015,0_0,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr,https://www.parlimen.gov.my/bills-dewan-rakyat.html?arkib=yes&lang=en&uweb=dr&ajx=1&uid=1775833574394&id=0_0
